N,P,K,Temperature,Humidity,pH,Rainfall,Crop
105.90898296415405,62.79100293661216,64.50050201761579,32.71505542638224,77.33883291472571,7.087268125472096,293.80366278717594,Soybean
20.5,78.13,67.06,31.5,73.05,5.78,52.8,Rice
72.42,52.54,71.26,25.08,51.44,7.2,254.44,Wheat
91.42,17.41,11.87,34.07,77.21,7.38,229.12,Pulses
72.65,52.43,45.08,31.62,66.08,6.1,111.53,Millet
52.76,24.34,22.08,31.88,62.4,5.77,278.36,Millet
41.58,56.52,74.64,25.85,87.68,6.08,55.32,Millet
113.31,48.76,51.71,34.7,84.06,5.47,227.8,Groundnut
30.876291701261128,29.10744852659703,33.41741607995646,21.84491725321235,72.78878468641469,6.567166627355223,265.683603153782,Wheat
99.79,44.01,50.17,35.14,81.84,6.29,50.29,Pulses
52.7,86.31,55.57,33.42,55.98,6.96,64.17,Wheat
90.05,17.74,62.7,21.59,88.57,6.98,247.01,Wheat
58.3218437847233,72.77400810224637,62.090036710621966,26.76964210033019,58.751113254672106,6.698288394729813,59.836417750526266,Rice
53.4,23.85,22.3,31.43,61.78,6.06,277.67,Millet
91.69,13.88,60.6,32.6,65.46,6.55,117.78,Maize
37.62,76.4,77.85,21.83,59.44,5.67,209.93,Sugarcane
33.58658753721828,51.94876737373703,26.750366183147555,22.044175235522935,75.5915039397153,5.800126770142109,111.78158367790601,Cotton
38.15,76.36,78.2,22.19,58.51,6.6,209.74,Sugarcane
95.43,46.97,42.82,24.21,87.07,6.21,276.32,Maize
60.52,36.38,57.85,23.27,75.97,5.91,160.15,Millet
23.97,12.5,39.19,29.51,59.79,5.84,237.75,Wheat
81.94178818298553,90.38629986954437,29.368899245991283,27.83564292292075,55.29332798757271,6.108862216061936,155.41453846105918,Millet
101.1,38.97,13.35,31.02,76.34,6.78,54.26,Cotton
63.78,69.47,32.83,29.0,72.17,7.76,53.39,Barley
41.85,57.05,75.2,25.9,88.16,6.29,54.63,Millet
35.0,77.19,65.13,30.21,70.55,6.83,237.68,Cotton
29.50003443332075,63.37569058144245,20.63440735346527,29.88811240055284,83.66322057440333,7.482994183770346,164.53517816561327,Maize
100.17732621141977,43.51589505264918,49.894024698086774,34.430578739277685,81.77686081886672,6.43077250888122,49.851054264071685,Millet
94.68865449387287,40.68687610972438,9.339118928396193,30.563203975807717,60.89119224457146,7.25165404335627,134.61405347597173,Wheat
38.62,32.13,74.42,24.03,61.84,6.94,238.31,Rice
57.65,48.31,19.98,32.19,88.65,7.73,184.15,Maize
24.14,76.61,16.93,34.77,60.57,5.6,206.08,Rice
24.84,87.49,35.69,28.73,86.85,5.49,228.4,Sugarcane
41.99,56.86,75.17,25.16,87.5,5.65,54.98,Millet
73.79,51.3,66.65,26.29,51.16,7.54,100.87,Soybean
36.58,26.73,68.42,24.07,56.77,7.36,289.21,Sugarcane
27.41,60.3,66.67,30.81,60.37,6.54,154.58,Maize
116.4,17.87,66.11,22.45,65.95,6.72,299.02,Millet
28.85,35.76,19.73,22.28,84.73,6.96,124.03,Sugarcane
43.1714200736419,38.15883739202771,67.90435320985952,28.103338978282206,59.19346251790688,5.8937023775831,129.44412385662292,Wheat
55.9,52.04,45.9,23.21,81.08,5.44,284.08,Groundnut
60.48,58.9,40.75,30.76,68.17,5.83,201.57,Sugarcane
116.43,74.47,16.33,30.29,65.02,5.81,196.66,Maize
56.4,45.92,54.1,34.1,79.98,5.46,195.49,Sugarcane
54.99,57.94,72.16,27.66,55.46,7.32,119.89,Rice
113.84,81.96,54.19,34.06,61.71,5.77,274.52,Soybean
61.11,36.04,58.39,23.37,76.3,5.63,160.08,Millet
47.04,52.07,13.6,25.28,66.16,7.23,184.14,Sugarcane
91.64,80.67,34.31,22.44,50.55,6.34,146.63,Cotton
26.16,44.11,55.88,23.41,54.63,5.78,287.24,Wheat
76.89,52.85,77.51,23.44,53.15,6.61,118.46,Barley
86.54,54.38,74.29,33.15,88.19,6.28,137.9,Maize
60.87,36.03,58.48,23.97,75.82,5.72,159.58,Millet
109.1,81.22,37.73,33.55,87.66,7.46,74.46,Sugarcane
30.28,45.52,33.45,32.4,66.6,6.64,74.28,Soybean
30.749319429851294,28.570926589834357,33.176107090188054,21.768696201065886,71.90657452030865,6.771793968632733,266.44123938267796,Sugarcane
29.4,63.05,21.41,29.95,84.43,6.89,165.38,Cotton
95.46,41.19,9.69,30.7,60.65,7.04,135.08,Barley
40.51,19.97,66.7,25.16,66.32,7.0,258.31,Cotton
27.03,60.15,66.95,30.57,59.62,7.12,154.85,Maize
48.74,34.58,44.26,24.27,50.93,6.86,86.65,Sugarcane
50.83,14.64,19.93,30.02,55.88,6.87,137.23,Maize
113.24,49.27,52.12,34.33,84.38,6.07,228.3,Groundnut
101.06,39.38,12.61,30.99,76.47,7.08,54.43,Cotton
59.305980682160936,72.96384711079271,61.75649884492568,26.260146900598397,59.32795181931983,7.113152958547716,59.690861002847974,Wheat
23.7,13.07,39.29,29.43,60.18,6.32,238.25,Wheat
101.32,38.65,13.21,30.89,76.38,6.44,54.13,Cotton
29.06,18.08,58.53,23.73,60.86,7.04,158.24,Sugarcane
30.31,41.09,56.45,21.98,79.03,6.11,274.55,Wheat
41.2,19.98,67.09,24.55,66.43,6.96,258.33,Cotton
89.47,29.03,45.41,25.61,60.07,7.97,250.56,Rice
106.68,66.09,29.11,28.59,50.88,6.9,120.6,Millet
73.83,50.72,66.93,26.37,50.51,7.06,101.04,Soybean
98.85,50.65,66.88,29.16,69.5,7.5,144.82,Sugarcane
30.53,29.27,32.85,21.76,71.98,6.2,265.52,Groundnut
91.25,16.98,12.44,34.37,77.23,6.77,228.67,Pulses
118.69,32.22,59.15,20.59,66.97,5.96,285.39,Maize
74.32,51.03,66.57,25.47,51.39,7.32,101.16,Soybean
79.38,18.47,27.5,27.37,85.42,6.12,225.91,Maize
63.99,69.36,33.12,29.07,71.93,7.49,53.43,Barley
25.93,44.2,56.49,23.69,54.87,6.1,287.08,Wheat
30.3,44.26,10.05,24.98,87.93,6.58,71.32,Barley
53.03,86.45,56.42,33.48,55.89,7.16,63.72,Wheat
76.52,53.39,78.03,23.36,53.21,6.96,118.06,Barley
98.2,51.98,34.29,21.06,63.15,5.96,52.31,Pulses
45.51,18.8,32.84,32.7,59.76,6.87,194.41,Wheat
108.63,88.38,47.9,24.86,53.99,5.85,137.47,Maize
74.08,51.21,66.77,25.79,50.68,7.52,101.12,Soybean
29.39,17.78,59.24,23.36,61.28,6.91,157.61,Sugarcane
106.46,63.1,63.6,32.92,76.7,6.84,293.05,Barley
74.14,51.37,66.74,26.06,51.28,7.4,101.04,Soybean
52.51,24.1,22.45,31.68,61.55,5.21,278.46,Millet
69.64,88.76,46.98,20.57,84.19,6.92,98.71,Groundnut
30.12,44.4,10.15,25.07,87.62,6.0,71.3,Barley
73.29,27.23,24.93,26.08,89.48,5.76,251.26,Sugarcane
78.49,56.09,76.69,31.59,86.71,7.03,298.31,Groundnut
21.79,41.11,67.45,26.77,53.5,5.62,294.87,Wheat
37.69,76.18,77.71,22.2,58.95,6.4,209.89,Sugarcane
25.55,43.8,56.37,23.36,55.33,6.36,286.51,Wheat
41.74,17.1,76.16,21.25,84.78,5.77,158.55,Maize
98.27,52.15,34.29,21.09,63.48,5.94,51.63,Pulses
72.9,52.21,45.44,32.57,66.26,6.29,111.96,Millet
116.23,84.96,36.87,20.56,63.86,7.32,92.23,Pulses
94.78,47.45,42.76,24.16,86.64,6.88,276.12,Maize
83.31,42.6,71.03,28.28,66.11,6.21,215.22,Millet
21.14,33.86,39.6,31.23,86.43,6.96,177.1,Wheat
19.7,72.46,30.27,27.16,53.26,6.81,245.65,Pulses
46.24,16.09,13.77,27.96,71.03,6.51,165.16,Soybean
57.96,47.6,19.69,32.83,89.19,7.81,183.52,Maize
46.42,19.17,33.27,32.1,60.39,7.21,194.33,Wheat
29.73,40.94,55.79,21.93,79.18,6.82,275.0,Wheat
104.75,78.64,44.3,28.05,81.63,6.47,163.9,Sugarcane
46.93,51.8,13.69,25.5,66.07,7.0,184.46,Sugarcane
107.34,38.51,31.89,20.93,81.4,5.74,118.97,Maize
115.78,73.59,16.18,30.55,65.47,6.14,196.67,Maize
77.98,47.95,12.11,30.39,88.34,6.0,272.0,Sugarcane
107.01,38.67,31.56,20.65,80.52,5.78,118.57,Maize
53.16,85.8,55.92,33.43,55.87,6.99,64.14,Wheat
113.44,49.07,52.16,34.26,84.49,6.04,227.81,Groundnut
45.63,18.88,32.64,32.65,59.86,6.72,193.54,Wheat
108.75,81.18,37.75,33.26,87.99,7.28,73.86,Sugarcane
20.85,34.22,39.51,31.7,86.26,7.24,177.42,Wheat
115.7,74.44,15.62,30.06,65.16,6.37,197.26,Maize
96.93,40.9,28.75,27.82,66.1,5.98,135.97,Maize
47.37,52.26,14.05,25.29,66.05,6.91,184.13,Sugarcane
28.65,35.52,20.21,22.39,85.1,7.58,123.61,Sugarcane
22.27,41.47,66.53,26.9,53.88,6.14,294.85,Wheat
78.65,18.26,28.25,27.49,85.08,5.5,226.47,Maize
38.08,76.1,77.51,22.08,59.16,5.61,209.72,Sugarcane
113.61,82.3,53.83,34.36,61.94,5.67,274.61,Soybean
73.24,51.59,44.6,32.4,65.59,6.37,112.39,Millet
56.38,52.22,45.67,23.6,80.79,6.03,283.89,Groundnut
23.63,12.57,38.87,29.18,60.03,5.8,238.0,Wheat
75.58,88.34,54.18,33.6,58.35,7.46,102.47,Cotton
73.34,26.97,25.06,25.52,89.38,5.87,251.28,Sugarcane
69.8,18.39,21.4,21.36,50.98,6.25,126.46,Soybean
98.7,50.69,67.29,29.67,70.35,7.13,145.09,Sugarcane
104.63,79.37,44.32,28.61,81.94,7.07,163.54,Sugarcane
87.54,22.65,24.69,21.13,59.96,7.24,135.97,Sugarcane
78.39,48.09,12.2,30.39,87.9,6.83,272.11,Sugarcane
106.97,66.03,29.23,29.13,51.39,6.58,121.31,Millet
44.78,56.06,62.62,24.81,88.37,7.51,300.24,Rice
38.63,31.78,73.6,24.87,61.92,6.97,237.91,Rice
113.47,49.43,51.54,34.74,83.51,5.9,227.51,Groundnut
38.35,76.2,77.99,22.54,58.63,6.27,209.86,Sugarcane
89.3,29.14,44.54,25.55,60.26,7.83,251.05,Rice
88.51,29.05,44.63,26.41,60.26,7.34,250.67,Rice
21.33,78.14,67.08,31.01,73.01,5.92,52.97,Rice
33.12,24.32,14.58,20.32,50.37,5.85,74.52,Pulses
103.03,42.38,34.67,21.66,65.66,6.76,164.3,Sugarcane
108.54,87.8,48.29,24.65,53.83,5.96,137.04,Maize
39.06,32.17,73.91,24.74,61.89,6.18,237.68,Rice
86.86,53.77,73.61,33.28,87.57,6.29,138.25,Maize
86.62,54.09,73.52,33.23,88.22,6.67,137.71,Maize
21.32,78.32,67.08,31.55,73.24,6.31,52.68,Rice
26.48,75.39,53.7,20.0,88.61,6.07,92.12,Rice
69.95,17.65,21.13,20.9,51.29,6.13,125.77,Soybean
46.35,15.57,14.41,27.83,71.22,7.22,165.06,Soybean
54.19,86.8,80.0,25.45,71.02,7.23,267.82,Maize
39.04,26.3,40.86,32.19,68.65,6.99,168.44,Soybean
22.28,40.67,66.51,27.55,53.81,5.66,295.5,Wheat
55.2,57.54,72.47,28.36,54.56,7.59,120.16,Rice
97.07,59.91,24.71,32.38,52.36,6.96,283.13,Wheat
82.57,43.1,70.84,28.14,66.21,6.35,215.05,Millet
107.23,65.59,29.19,28.63,50.79,7.07,120.68,Millet
70.34,88.96,47.21,20.58,84.18,6.73,98.99,Groundnut
113.75,82.08,54.43,33.84,62.3,5.76,274.52,Soybean
98.13,51.87,34.14,20.7,63.02,6.27,51.59,Pulses
95.39,47.56,63.03,28.49,85.48,6.84,144.75,Groundnut
88.29,22.78,25.45,21.19,59.74,7.34,135.68,Sugarcane
98.1,51.54,34.29,20.83,63.07,6.15,52.05,Pulses
78.21943798338397,47.62000335713326,11.679297217804239,30.489876546937147,87.99481808797343,5.938261705469826,271.5936238262699,Groundnut
103.36,41.96,34.61,21.81,65.8,6.19,163.87,Sugarcane
20.51,34.09,39.64,31.98,85.66,6.8,177.28,Wheat
107.4,65.71,28.87,29.08,51.2,6.56,121.27,Millet
26.26,74.76,53.55,20.81,88.61,5.42,91.96,Rice
72.04,52.88,70.57,25.11,50.54,7.68,253.62,Wheat
54.17,87.36,80.2,24.67,71.39,7.31,267.57,Maize
106.82,39.42,31.94,20.4,81.45,6.22,118.54,Maize
106.59667418128923,66.51744466942282,28.56728811945063,28.782981151424007,51.14297092839657,6.74057660680637,121.21542316242432,Rice
92.3,13.87,60.81,32.28,65.14,6.56,117.71,Maize
118.6,32.37,58.96,20.64,67.1,5.23,284.68,Maize
50.63,15.32,20.26,29.94,56.36,6.33,136.74,Maize
115.79829243457769,18.099819134208918,65.40979504497054,21.605590227116213,66.11885671769278,5.745561776753928,298.5984736921129,Soybean
83.12,30.68,22.07,31.46,54.99,7.57,269.84,Sugarcane
113.93,81.95,54.42,34.34,61.55,5.8,275.36,Soybean
106.14,63.05,63.56,32.64,76.81,7.33,292.95,Barley
38.34,20.64,35.61,20.61,85.57,5.61,237.81,Wheat
73.5,51.07,66.89,25.41,50.71,7.06,100.79,Soybean
96.87,40.53,28.62,28.25,65.79,6.48,136.16,Maize
60.44,27.34,79.19,22.33,69.79,6.68,296.68,Wheat
29.97,41.32,56.26,21.75,79.4,6.01,274.9,Wheat
81.6,90.36,29.82,28.06,56.12,5.83,155.3,Cotton
53.01,23.76,22.11,31.71,61.84,5.99,278.34,Millet
41.67,56.7,75.15,25.07,88.16,6.28,54.83,Millet
96.03,36.78,24.84,24.44,54.54,7.2,214.24,Sugarcane
100.94,15.72,59.62,30.7,89.22,6.26,135.59,Soybean
70.4,88.76,46.77,20.72,83.81,6.18,98.59,Groundnut
21.37,34.16,39.65,31.47,85.72,6.94,176.71,Wheat
71.61,52.96,70.54,25.63,51.3,7.71,254.32,Wheat
25.69,44.18,56.03,23.36,55.18,5.73,287.3,Wheat
21.11,33.77,39.52,32.11,85.82,6.79,177.1,Wheat
43.78,11.76,68.42,25.62,85.27,5.95,74.0,Rice
83.44,42.58,70.86,27.98,66.32,6.55,215.38,Millet
29.9,40.71,56.14,22.03,78.77,6.61,274.93,Wheat
34.87,76.69,65.09,30.73,70.61,7.62,238.18,Cotton
115.63,18.09,66.48,21.57,65.58,6.08,299.14,Millet
119.45,31.9,59.46,20.2,66.56,5.51,285.23,Maize
96.72,41.19,29.42,28.24,65.51,5.85,136.25,Maize
113.54,10.26,31.49,33.47,59.8,7.24,278.07,Groundnut
78.65377614773433,18.299721506573906,27.476658385996558,27.30232457569066,84.92643720644215,5.72946991082927,226.17612719734132,Sugarcane
23.88,13.06,38.68,29.4,60.28,5.67,237.68,Wheat
86.87,50.41,46.29,25.78,54.46,5.91,121.03,Soybean
95.3,40.53,9.67,30.53,60.74,6.96,134.83,Barley
26.7,60.48,67.05,30.31,60.18,6.81,155.37,Maize
109.21,80.96,37.73,33.45,88.02,7.5,74.08,Sugarcane
97.04,40.75,28.81,28.56,65.91,6.41,136.12,Maize
38.1,17.14,25.41,30.25,76.47,6.34,247.1,Barley
70.35,89.43,47.27,21.34,84.31,6.33,99.0,Groundnut
42.28,57.2,75.22,25.7,88.03,5.85,55.46,Millet
47.19,52.14,13.96,25.29,65.9,7.2,183.91,Sugarcane
102.51,45.18,13.47,28.26,61.0,7.3,286.0,Maize
63.98,68.72,33.36,28.72,72.31,7.32,52.71,Barley
82.49912465235995,90.6954333382829,29.45848990948127,28.876148346948128,56.45534605495019,5.329645766353875,154.87840557376012,Maize
44.39420580180105,12.534898353552773,67.9470825700207,25.93515084961437,84.85697796129222,5.933112479772736,74.46319725999241,Soybean
76.81,52.59,77.81,22.84,52.61,7.23,118.06,Barley
115.75,73.72,16.03,30.59,64.88,6.41,197.29,Maize
75.78,88.4,54.39,34.08,57.91,6.81,101.59,Cotton
38.2,17.45,24.75,30.88,76.15,6.06,247.48,Barley
70.43,18.35,20.88,21.48,50.71,6.3,126.26,Soybean
53.85,86.86,80.3,25.47,70.7,7.14,268.18,Maize
20.846304502461773,34.35080539765163,40.7490166509779,32.12392339031373,86.07842549743593,7.701826157359546,177.3278210598891,Groundnut
45.42,55.95,62.75,24.61,88.13,7.7,299.96,Rice
82.77,31.23,21.57,31.84,55.12,7.36,269.71,Sugarcane
28.68,62.54,20.91,30.0,84.09,6.87,165.48,Cotton
71.82,53.15,70.88,25.5,50.73,7.1,254.35,Wheat
51.42,14.62,20.33,30.03,55.9,6.22,136.91,Maize
69.55,88.82,46.81,20.79,84.4,6.94,99.44,Groundnut
54.51,58.05,71.97,27.61,55.4,7.55,119.83,Rice
92.12,13.62,60.98,32.94,65.2,5.76,118.21,Maize
30.43,46.35,32.51,31.88,67.33,6.95,74.42,Soybean
38.80790334718102,32.224148196943,73.66095997682586,24.94642133385744,62.18934935835879,6.52726715755694,237.9933808910178,Groundnut
38.06,20.56,36.21,21.2,86.43,5.41,238.24,Wheat
90.1,18.2,62.57,21.51,88.83,6.71,247.18,Wheat
77.04,52.88,78.2,23.48,52.69,6.52,118.1,Barley
31.17,28.51,32.78,22.07,72.49,6.09,266.23,Groundnut
110.03,37.63,54.0,32.94,62.5,5.18,234.46,Groundnut
101.19,16.12,60.27,30.95,89.38,6.07,135.81,Soybean
37.58,76.06,77.94,21.93,59.28,6.3,209.93,Sugarcane
87.84,23.22,25.38,21.53,60.48,7.19,136.17,Sugarcane
86.80554098176577,53.888380165791816,73.0192522399414,32.74226139414991,88.08147433545182,6.719327007082703,138.42191630300476,Wheat
109.8,37.52,53.65,32.23,62.28,5.17,233.78,Groundnut
45.86,19.47,32.53,32.87,59.65,6.96,193.64,Wheat
36.790834313546895,27.200297948524238,68.20596596757072,23.860753512804422,57.048566205206015,7.189576717051924,288.75741535874727,Pulses
32.61,23.71,15.04,20.46,50.29,6.62,74.63,Pulses
26.1,74.62,54.06,20.26,88.65,5.12,92.12,Rice
26.52,60.41,67.2,30.28,59.5,7.16,154.88,Maize
76.27,87.66,54.01,34.36,57.6,6.71,102.39,Cotton
39.15,26.39,41.34,32.39,68.82,6.24,168.15,Soybean
77.98,47.77,11.56,30.15,88.16,6.88,271.51,Sugarcane
24.95,87.08,35.87,28.83,86.87,5.78,227.82,Sugarcane
99.53,43.55,50.13,35.17,82.2,5.92,49.69,Pulses
91.31,17.49,12.32,34.66,76.91,7.39,229.3,Pulses
20.74,34.07,39.53,31.59,85.96,7.19,176.59,Wheat
83.25,31.35,22.37,32.15,55.13,7.58,269.83,Sugarcane
76.26,88.12,53.63,33.84,58.04,7.29,101.9,Cotton
52.34681261958226,85.86702390127577,55.549768451151536,32.95026843394127,56.19176630829005,7.134249419796892,64.46624029837777,Millet
75.73,87.99,54.5,34.18,58.16,7.48,102.2,Cotton
83.27,42.67,71.48,28.14,65.76,6.07,215.15,Millet
23.78,76.51,16.78,34.52,60.8,6.26,206.29,Rice
43.92,11.9,67.65,25.59,84.55,6.12,74.2,Rice
39.38,31.87,74.29,24.57,62.28,6.92,238.31,Rice
95.32,47.26,42.74,24.09,87.26,6.53,275.93,Maize
100.33,44.15,49.85,34.98,81.71,6.27,50.34,Pulses
87.3,54.1,73.85,33.3,88.03,6.47,138.34,Maize
23.54,12.71,39.16,29.6,59.73,5.76,238.43,Wheat
103.25,45.0,13.11,28.95,60.9,6.87,285.66,Maize
113.03,48.52,52.26,34.46,83.96,5.75,227.93,Groundnut
27.11,59.7,67.11,30.94,60.23,7.11,154.63,Maize
97.48,41.35,29.49,28.66,65.88,6.23,136.1,Maize
30.498847219812635,46.2120914035198,32.484511028137064,32.4686011394903,67.37753564877747,7.572406716914903,73.76796094556937,Wheat
91.72,13.66,60.58,32.46,64.91,5.98,118.23,Maize
103.37,42.15,35.05,22.6,66.2,6.76,163.83,Sugarcane
70.23,88.64,46.68,21.34,84.33,6.54,98.71,Groundnut
107.48,38.9,32.5,20.91,81.04,6.04,118.96,Maize
53.48,85.96,56.05,33.28,55.97,6.96,64.08,Wheat
56.48,51.67,45.55,23.11,80.92,6.21,284.08,Groundnut
103.23836183495033,44.51401624886295,12.68128508115128,28.515428752128642,60.53850163384508,7.1526185934644415,285.3381997740758,Soybean
101.42,15.58,60.27,30.67,88.9,5.73,136.19,Soybean
70.44,88.61,47.25,20.72,83.68,6.59,98.88,Groundnut
94.91,40.97,9.63,30.93,61.01,6.11,134.6,Barley
96.4,36.92,25.39,24.09,54.62,7.01,213.92,Sugarcane
109.38,88.03,48.27,24.84,54.34,5.99,137.28,Maize
54.99,57.52,72.21,27.89,55.31,7.7,119.69,Rice
95.0,40.68,9.76,30.34,60.74,6.29,135.2,Barley
77.37,53.1,78.13,23.01,52.84,7.4,117.56,Barley
38.35,75.87,78.48,22.51,58.95,5.88,209.74,Sugarcane
113.69,10.46,30.7,34.1,59.72,7.34,278.22,Groundnut
30.34,44.33,9.61,24.67,87.88,6.06,71.1,Barley
30.2,44.26,10.44,25.16,88.14,6.72,71.23,Barley
82.11,90.26,30.08,28.4,56.14,6.1,155.14,Cotton
37.97,16.98,24.78,30.85,75.96,5.91,246.78,Barley
39.17,25.89,41.38,32.78,69.06,7.05,168.35,Soybean
24.06,76.67,17.4,34.64,61.01,5.71,205.63,Rice
29.01,62.78,21.07,29.93,83.56,7.55,164.93,Cotton
28.92,18.14,58.79,23.75,61.23,7.02,158.47,Sugarcane
103.18,44.73,12.89,28.27,61.26,6.76,286.37,Maize
37.07,64.35,31.57,28.77,74.92,5.9,138.8,Maize
33.58789033507641,52.22441085881456,26.701570883049314,21.223293483296047,75.43975129781512,5.13741342243696,112.4593709503185,Soybean
51.5,15.39,19.57,29.62,56.21,6.76,137.29,Maize
54.22,86.77,79.89,25.37,70.61,7.06,267.95,Maize
58.88,72.54,61.5,26.72,58.9,6.57,60.48,Millet
69.83,18.44,21.35,20.57,51.09,6.17,125.93,Soybean
